company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
RED ROCK COMMERCIAL LTD,12205650,active,2019-09-13,IG1 1BY,96010,ltd,2021-06-13
BENACST DIRECT LIMITED,12204363,active,2019-09-12,IG3 9UU,"47721, 47910",ltd,2021-06-12
TIMES SQUARE LONDON LTD,12145576,active,2019-08-08,IG1 3SB,47770,ltd,2022-05-30
PATHWAYS PROPERTY SOLUTION LIMITED,12126787,active,2019-07-29,IG2 6NE,68209,ltd,2021-04-29
ACRE & TWEED GROUP LIMITED,12131216,active,2019-07-31,IG1 2JF,74909,ltd,2023-04-30
BYARS LTD,12095696,active,2019-07-10,IG1 4TD,96090,ltd,2022-04-30
CHRIS DRYLINING INTERIORS LTD,12096191,active,2019-07-10,IG1 1YJ,82990,ltd,2021-04-10
D O'KEEFE LIMITED,12108321,active,2019-07-17,IG4 5NX,39000,ltd,2021-04-17
MARDASS LTD,12097732,active,2019-07-11,IG1 2RL,96090,ltd,2021-04-11
LONDROM LTD,12117612,active,2019-07-23,IG2 7AS,43390,ltd,2021-04-23
DP DRYWALL SERVICES LTD,12067865,active,2019-06-25,IG1 3NB,43390,ltd,2022-03-31
CIMH PR LTD,12054777,active,2019-06-17,IG1 3QH,86900,ltd,2021-06-17
I-CELL (LONDON) LTD,12009612,active,2019-05-21,IG1 1QP,"46341, 62020",ltd,2021-05-21
NEW GEN SECURITY LTD,12021563,active,2019-05-29,IG1 2RL,96090,ltd,2021-05-29
LONDON HOME CONSTRUCTION LIMITED,12047147,active,2019-06-12,IG6 3AT,"41201, 41202",ltd,2023-03-31
LORRY JORDI LTD,12040005,active,2019-06-10,IG2 7AH,46900,ltd,2021-06-10
BEST 79 UK LIMITED,12053535,active,2019-06-17,IG2 6QL,47110,ltd,2023-03-31
MARENGO 1 LIMITED,12053692,active,2019-06-17,IG6 2HR,"68100, 68209, 68320",ltd,2023-03-31
Y2K SERVICES LIMITED,12052867,active,2019-06-17,IG5 0QL,52290,ltd,2021-06-17
ROBTAM LIMITED,12045266,active,2019-06-11,IG3 8NB,"41201, 41202, 43310, 43341",ltd,2021-06-11
MARCEL MARKETING LTD,12039476,active,2019-06-07,IG1 2RL,96090,ltd,2021-06-07
PIK DEVELOPMENTS LTD,12457846,active,2020-02-12,IG11 7QN,43390,ltd,2021-11-12
SAMZ TRADING LIMITED,09117000,active,2014-07-04,E16 1EN,47110,ltd,2023-08-31
MERLIN ENTERPRISES LTD,09010979,active,2014-04-25,IG11 0DA,63990,ltd,2024-01-31
DSS AUTO LIMITED,09425589,active,2015-02-06,IG11 7XG,"41201, 43290, 43330, 43342",ltd,2024-11-30
SEANTECH SOLUTIONS LIMITED,09568834,active,2015-04-30,IG11 8LQ,"46190, 46900",ltd,2024-01-31
STEF-PAL LTD,09241217,active,2014-09-30,IG11 7NY,71129,ltd,2023-08-31
A1 SERVICES WORLDWIDE LTD,12246422,active,2019-10-07,IG11 8TN,85600,ltd,2022-10-29
STAB TRANSPORT LIMITED,12431479,active,2020-01-29,IG11 0NS,49390,ltd,2021-10-29
AFCAR PROPERTIES LTD,12444993,active,2020-02-05,IG11 7GH,"68100, 68209",ltd,2021-11-05
CHICKEN CITY LONDON LTD,12312258,active,2019-11-13,E13 8HL,56103,ltd,2021-08-13
GE STEEL FIXING LTD,12407026,active,2020-01-16,E13 8HR,"41100, 43390, 43999",ltd,2023-01-31
INBOX SELL LTD,12420229,active,2020-01-23,IG11 8DR,47910,ltd,2023-01-30
LONDON BRASS NAUTICAL LTD,12378358,active,2019-12-27,IG11 8LA,47190,ltd,2022-09-30
TRD LTD,12283838,active,2019-10-28,IG11 1JP,69203,ltd,2021-07-28
BUCAJ LTD,12002758,active,2019-05-17,IG11 9TT,41202,ltd,2023-02-28
UPEC SERVICES LIMITED,12239054,active,2019-10-02,IG11 8BB,87900,ltd,2022-07-31
VIP BUILDING LTD,12233106,active,2019-09-30,IG11 7YD,43390,ltd,2023-06-30
GLORY 3 LTD,12062580,active,2019-06-21,IG11 9QB,46420,ltd,2021-06-21
MUHAFIS CONSTRUCTION LIMITED,12126445,active,2019-07-29,IG11 7YH,43390,ltd,2021-04-29
AHS COURIER & REMOVALS LTD,08755488,active,2013-10-30,IG11 0QY,53201,ltd,2022-10-31
VALLIANT SECURITY LTD,10685335,active,2017-03-22,IG11 9XJ,80100,ltd,2021-04-05
HM AMUSEMENTS LIMITED,07328931,active,2010-07-28,IG11 7PZ,93290,ltd,2024-03-31
LEGENDOS LIMITED,08014582,active,2012-04-02,IG11 7BT,47791,ltd,2024-12-31
ROLLOT LTD,10610383,active,2017-02-09,IG11 7EJ,"56103, 96010",ltd,2024-11-30
PROPERTY SOLUTIONS 1 LIMITED,08942456,active,2014-03-17,IG11 7UQ,68320,ltd,2024-12-31
NSBM TRADING LIMITED,12057076,active,2019-06-18,IG11 8QY,70229,ltd,2025-03-31
DIRECT MOTORS 247 LTD,11743982,active,2018-12-31,E6 2LW,"45112, 45190, 45200, 45310",ltd,2020-12-31
HOWDY CHICKEN LTD,11316960,active,2018-04-18,E6 2LW,"56102, 56103, 56290",ltd,2024-04-30
AL MODINA GROCERY LTD,13685931,active,2021-10-18,E13 9EZ,"47190, 47210",ltd,2025-07-31
AMPEL.IO LTD,10749460,active,2017-05-02,E13 9PJ,62012,ltd,2021-05-31
HOLINEX SOLUTIONS LIMITED,06285350,active,2007-06-19,IG11 7PL,62012,ltd,2022-03-31
RACE HOUSE LTD,13285753,active,2021-03-23,IG11 7PQ,45200,ltd,2025-03-31
LACHEV LTD,09384014,active,2015-01-12,IG8 7NQ,43390,ltd,2024-12-31
AAPLUMBING&HEATING LTD,12343421,active,2019-12-02,IG8 8NL,43220,ltd,2022-09-30
HIVE PLUMBING & HEATING LIMITED,11989140,active,2019-05-10,IG8 8AS,43220,ltd,2023-02-28
REISS CHAUDHRY LTD,12066164,active,2019-06-24,IG8 1WB,56210,ltd,2023-06-30
TKO ENTERPRISE LTD,12066141,active,2019-06-24,IG8 8EY,82990,ltd,2022-03-31
APAC SOLUTIONS LTD.,12920367,active,2020-10-01,IG8 7AB,"20530, 46341",ltd,2025-07-31
CGL CONTRACTOR LTD,14290486,active,2022-08-11,IG8 0EG,41202,ltd,2025-05-31
ADVENTURES DAY NURSERY LTD,08430209,active,2013-03-05,IG8 8EY,85100,ltd,2025-07-31
TORCIDA VISINIE LTD,09728578,active,2015-08-12,IG8 7BG,"41201, 49420",ltd,2023-05-31
SAVANNAH SERVICES (UK) LTD,03360517,active,1997-04-25,IG8 9NG,96090,ltd,2024-07-05
FARN WILLIAMS LIMITED,02856042,active,1993-09-22,IG8 8HD,78200,ltd,2023-01-24
PENGIL LIMITED,08989828,active,2014-04-10,IG8 8EY,82990,ltd,2018-12-31
AVER HOUSE DEVELOPMENTS LTD,11740804,active,2018-12-24,IG8 8HD,41100,ltd,2024-03-20
SEKIN LTD,14864136,active,2023-05-12,IG8 8PA,56103,ltd,2025-02-12
PARKSIDE VIEW PROPERTIES LTD,12239984,active,2019-10-02,IG8 8EY,82990,ltd,2025-07-31
LUMI ENTERTAINMENT LIMITED,06874281,active,2009-04-08,IG8 8EY,82990,ltd,2025-01-31
ALPHA UOM LTD,11531719,active,2018-08-22,IG8 8HD,68209,ltd,2025-05-31
HANEEF INC LIMITED,10790916,active,2017-05-26,IG8 9HY,74909,ltd,2022-02-28
RAINBIRD HOUSE ORAL HEALTHCARE LIMITED,08939142,active,2014-03-14,IG8 8EY,86230,ltd,2024-03-31
DGS BUILDING & MAINTENANCE LTD,11729435,active,2018-12-17,IG7 5PR,43390,ltd,2021-06-30
FUN HOLIDAY CLUB LTD,14296741,active,2022-08-15,IG7 4BU,99999,ltd,2025-05-31
ENTREPRENEUR MIND LIMITED,11219634,active,2018-02-22,IG7 5DR,"49410, 70229",ltd,2023-05-28
SECRET ESSENCE CAKE BOUTIQUE LIMITED,12171127,active,2019-08-23,IG7 6LA,56290,ltd,2025-05-25
ROBUK UK LIMITED,12281735,active,2019-10-25,IG7 4GF,86101,ltd,2024-07-31
CHOP & ROLL LTD,11375766,active,2018-05-22,IG7 6PB,56103,ltd,2025-07-31
DND GLOBAL SERVICES LTD,14769941,active,2023-03-30,IG7 4JG,43390,ltd,2024-12-30
CHIGWELL KEBAB LTD,12116077,active,2019-07-22,IG7 4DN,56103,ltd,2025-04-30
FORTE MARKETS CONSULTANCY LIMITED,10662578,active,2017-03-09,IG7 5BD,"62020, 62090, 70229",ltd,2023-12-31
01 MANAGEMENT SERVICES LTD,10196375,active,2016-05-24,IG7 4LU,68320,ltd,2021-05-31
